Russian,Polish
этот,ten
это,to
что,co/że
человек,człowiek
только,tylko
сказать,powiedzieć
свое,swoje
она,ona
но,ale
не,nie
на,na
мочь,móc
когда,kiedy
к,do
из,z
и,i
за,za
еще,jeszcze
если,jeśli
для,dla
год,rok
вы,wy
вот,oto/otóż
быть,być
а,ale
говорить,mówić
без,bez
где,gdzie
два,dwa
дело,sprawa
друг,przyjaciel
другой,inny
есть,jest/jeść
жизнь,życie
мой,mój
надо,należy
наш,nasz
нет,nie
ну,więc
очень,bardzo
первый,pierwszy
потом,potem
при,przy
рука,ręka
стать,stać się
стоять,stać
там,tam
теперь,teraz/obecnie
тоже,też
тут,tu/tutaj
можно,możliwe
ваш,wasz
вдруг,nagle
город,miasto
дверь,drzwi
делать,robić
должный,właściwy
думать,myśleć
иметь,mieć/posiadać
конечно,oczywiście
над,nad/ponad
начать,zacząć/rozpocząć
новый,nowy
об,o
понять,zrozumieć
почему,dlaczego
работа,praca
спросить,zapytać
сторона,strona
тогда,wtedy
три,trzy
уж,już
хороший,dobry
час,godzina
через,przez/poprzez
более,bardziej
война,wojna
всегда,zawsze
второй,drugi
выйти,wyjść
главный,główny
дать,dać
деньги,pieniądze
значить,znaczyć
лишь,tylko
машина,samochód
ночь,noc
оказаться,okazać się
опять,znowu
остаться,zostać
ответить,odpowiedzieć
отец,ojciec
пойти,pójść
почти,prawie
сила,siła
случай,zdarzenie/wypadek
совсем,zupełnie
старый,stary
твой,twój
хорошо,dobrze
